length,Dia_dr,T_Force,BearingType,T_Weight,T_Weight_J,map_code
400,200,8,22210,75,80,40B101(G)
400,250,8,22210,91.5,98,40B102(G)
400,315,10,22210,102.4,110,40B103(G)
400,400,16,22210,120.3,130,40B104(G)
400,400,24,22212,148,158,40B204(G)
500,200,8,22210,83,89,50B101(G)
500,250,9,22210,102,110,50B102(G)
500,315,10,22210,114,124,50B103(G)
500,400,10,22210,134,146,50B104(G)
500,400,23,22212,164,176,50B204(G)
500,500,28,22212,189,205,50B105(G)
500,500,49,22216,235,251,50B205(G)
650,200,8,22210,94,101,65B101(G)
650,250,8,22210,117,126,65B102(G)
650,315,8,22210,132,144,65B103(G)
650,315,16,22212,164,176,65B203(G)
650,315,26,22216,213,225,65B303(G)
650,400,20,22212,187,203,65B104(G)
650,400,32,22216,238,253,65B204(G)
650,400,46,22220,324,339,65B304(G)
650,500,40,22216,267,285,65B105(G)
650,500,59,22220,360,379,65B205(G)
650,630,59,22220,413,436,65B106(G)
650,630,70,22224,618,641,65B206(G)
800,200,6,22210,110,120,80B101(G)
800,250,6,22210,138,150,80B102(G)
800,315,12,22212,194,208,80B103(G)
800,315,20,22216,249,263,80B203(G)
800,400,20,22216,277,296,80B104(G)
800,400,29,22220,401,420,80B204(G)
800,400,45,22224,515,533,80B304(G)
800,500,40,22220,444,467,80B105(G)
800,500,56,22224,560,583,80B205(G)
800,500,100,22228,721,744,80B305(G)
800,630,50,22220,505,534,80B106(G)
800,630,73,22224,695,724,80B206(G)
800,630,100,22228,871,900,80B306(G)
800,630,170,22232,1050,1079,80B406(G)
800,800,90,22224,798,841,80B107(G)
800,800,126,22228,982,1025,80B207(G)
800,800,170,22232,1170,1214,80B307(G)
800,800,250,22236,1439,1482,80B407(G)
800,1000,240,22232,1372,1426,80B108(G)
800,1000,330,22236,1628,1682,80B208(G)
800,1000,400,23240,2321,2375,80B308(G)
800,1250,400,23244,3050,3118,80B109(G)
800,1250,550,23248,3495,3566,80B209(G)
800,1250,800,24152,3689,3760,80B309(G)
1000,250,6,22210,159,173,100B102(G)
1000,315,11,22212,221,238,100B103(G)
1000,315,18,22216,282,299,100B203(G)
1000,400,18,22216,315,337,100B104(G)
1000,400,29,22220,428,450,100B204(G)
1000,400,45,22224,573,595,100B304(G)
1000,500,35,22220,476,504,100B105(G)
1000,500,45,22224,625,653,100B205(G)
1000,500,75,22228,809,836,100B305(G)
1000,630,43,22220,545,579,100B106(G)
1000,630,64,22224,769,803,100B206(G)
1000,630,87,22228,957,992,100B306(G)
1000,630,168,22232,1142,1177,100B406(G)
1000,800,79,22224,882,935,100B107(G)
1000,800,110,22228,1080,1133,100B207(G)
1000,800,168,22232,1276,1329,100B307(G)
1000,800,220,22236,1570,1623,100B407(G)
1000,800,300,23240,2144,2197,100B507(G)
1000,1000,130,22228,1241,1309,100B108(G)
1000,1000,200,22232,1493,1561,100B208(G)
1000,1000,290,22236,1776,1844,100B308(G)
1000,1000,387,23240,2499,2567,100B408(G)
1000,1000,429,23244,2886,2954,100B508(G)
1000,1250,400,23244,3295,3380,100B109(G)
1000,1250,550,23248,3720,3805,100B209(G)
1000,1250,660,24152,3943,4028,100B309(G)
1000,1400,600,23248,3991,4085,100B110(G)
1000,1400,900,24156,4686,4780,100B210(G)
1000,1600,1200,23160,6280,6386,100B111(G)
1200,250,6,22210,181,198,120B102(G)
1200,315,11,22212,255,277,120B103(G)
1200,315,17,22216,322,343,120B203(G)
1200,400,17,22216,360,387,120B104(G)
1200,400,26,22220,486,513,120B204(G)
1200,400,38,22224,645,672,120B304(G)
1200,500,30,22220,542,576,120B105(G)
1200,500,41,22224,705,739,120B205(G)
1200,500,70,22228,899,933,120B305(G)
1200,630,37,22220,620,662,120B106(G)
1200,630,53,22224,858,900,120B206(G)
1200,630,90,22228,1060,1102,120B306(G)
1200,630,150,22232,1261,1303,120B406(G)
1200,800,64,22224,987,1051,120B107(G)
1200,800,100,22228,1200,1264,120B207(G)
1200,800,150,22232,1411,1474,120B307(G)
1200,800,200,22236,1732,1796,120B407(G)
1200,800,230,23240,2337,2401,120B507(G)
1200,1000,134,22228,1380,1464,120B108(G)
1200,1000,150,22232,1646,1730,120B208(G)
1200,1000,200,22236,1960,2043,120B308(G)
1200,1000,351,23240,2715,2799,120B408(G)
1200,1000,391,23244,3121,3204,120B508(G)
1200,1000,437,23248,3541,3624,120B608(G)
1200,1250,400,23248,4019,4123,120B109(G)
1200,1250,550,24152,4259,4363,120B209(G)
1200,1250,800,24156,4774,4878,120B309(G)
1200,1400,900,23160,5832,5949,120B110(G)
1200,1400,1050,23268,7901,8018,120B210(G)
1200,1600,1200,23268,8617,8745,120B111(G)
1400,315,17,22216,354,379,140B103(G)
1400,400,17,22216,397,428,140B104(G)
1400,400,25,22220,533,564,140B204(G)
1400,400,40,22224,705,736,140B304(G)
1400,500,25,22220,596,633,140B105(G)
1400,500,40,22224,773,811,140B205(G)
1400,500,66,22228,995,1033,140B305(G)
1400,630,50,22224,929,977,140B106(G)
1400,630,90,22228,1161,1208,140B206(G)
1400,630,120,22232,1356,1404,140B306(G)
1400,800,50,22224,1070,1143,140B107(G)
1400,800,94,22228,1314,1388,140B207(G)
1400,800,150,22232,1519,1593,140B307(G)
1400,800,186,22236,1863,1937,140B407(G)
1400,800,214,23240,2488,2562,140B507(G)
1400,800,300,23244,3006,3079,140B607(G)
1400,1000,100,22228,1508,1599,140B108(G)
1400,1000,150,22232,1771,1862,140B208(G)
1400,1000,236,22236,2109,2200,140B308(G)
1400,1000,331,23240,2887,2978,140B408(G)
1400,1000,361,23244,3318,3409,140B508(G)
1400,1000,400,23248,3750,3841,140B608(G)
1400,1000,427,24152,4005,4096,140B708(G)
1400,1250,400,23248,4235,4254,140B109(G)
1400,1250,500,24152,4490,4609,140B209(G)
1400,1250,600,24156,5012,5131,140B309(G)
1400,1250,900,23160,5737,5856,140B409(G)
1400,1250,1050,23268,7855,7974,140B509(G)
1400,1400,600,24156,5360,5487,140B110(G)
1400,1400,900,23160,6163,6296,140B210(G)
1400,1400,1050,23268,8267,8400,140B310(G)
1400,1600,1200,23268,9013,9159,140B111(G)
1400,1600,1600,23272,9698,9844,140B211(G)
1600,400,25,22220,580,615,160B104(G)
1600,400,40,22224,762,797,160B204(G)
1600,400,80,22228,981,1016,160B304(G)
1600,500,40,22224,838,881,160B105(G)
1600,500,80,22228,1073,1116,160B205(G)
1600,500,160,22232,1283,1327,160B305(G)
1600,630,40,22224,994,1048,160B106(G)
1600,630,80,22228,1239,1294,160B206(G)
1600,630,160,22232,1443,1498,160B306(G)
1600,630,240,22236,1797,1867,160B406(G)
1600,800,40,22224,1145,1228,160B107(G)
1600,800,80,22228,1405,1488,160B207(G)
1600,800,120,22232,1618,1701,160B307(G)
1600,800,160,22236,1988,2071,160B407(G)
1600,800,240,23240,2637,2720,160B507(G)
1600,800,320,23244,3181,3264,160B607(G)
1600,800,450,23248,3656,3739,160B707(G)
1600,1000,160,22236,2248,2350,160B108(G)
1600,1000,240,23240,3055,3157,160B208(G)
1600,1000,320,23244,3514,3616,160B308(G)
1600,1000,450,23248,4033,4135,160B408(G)
1600,1000,520,24152,4309,4411,160B508(G)
1600,1000,800,24156,4814,4916,160B608(G)
1600,1250,450,24152,4749,4878,160B109(G)
1600,1250,520,24156,5348,5482,160B209(G)
1600,1250,800,23160,6077,6206,160B309(G)
1600,1250,1200,23268,8198,8327,160B409(G)
1600,1400,520,24156,5686,5830,160B110(G)
1600,1400,800,23160,6522,6666,160B210(G)
1600,1400,1200,23268,8633,8777,160B310(G)
1600,1600,800,23160,7475,7639,160B111(G)
1600,1600,1200,23168,9409,9573,160B211(G)
1600,1600,1600,23272,10128,10292,160B311(G)
1800,400,25,22220,627,666,180B104(G)
1800,400,40,22224,820,859,180B204(G)
1800,400,80,22228,1052,1091,180B304(G)
1800,500,40,22224,903,951,180B105(G)
1800,500,80,22228,1151,1199,180B205(G)
1800,500,160,22232,1373,1421,180B305(G)
1800,630,40,22224,1066,1126,180B106(G)
1800,630,80,22228,1326,1386,180B206(G)
1800,630,160,22232,1539,1599,180B306(G)
1800,630,240,22236,1914,1974,180B406(G)
1800,630,320,23240,2531,2592,180B506(G)
1800,800,80,22228,1504,1596,180B107(G)
1800,800,160,22236,2118,2210,180B207(G)
1800,800,240,23240,2788,2880,180B307(G)
1800,800,320,23244,3355,3447,180B407(G)
1800,800,450,24152,4136,4228,180B507(G)
1800,1000,160,22236,2397,2510,180B108(G)
1800,1000,240,23240,3225,3339,180B208(G)
1800,1000,450,23248,4223,4337,180B308(G)
1800,1000,520,24152,4524,4638,180B408(G)
1800,1000,800,23156,5062,5176,180B508(G)
1800,1250,520,24152,5003,5146,180B109(G)
1800,1250,800,23160,6249,6392,180B209(G)
1800,1250,1200,23268,8542,8685,180B309(G)
