Belt_Width,Dia,Length_,mapcode_1,Bearing_Type,A_,E_,C_,H_,H1_,H2_,P_,Q_,d_,T_Weight,mapcode_2
800,89,315,G304,6204/C4,1090,1150,990,245,180.5,282,170.0,130.0,M12,21.8,80C311
800,108,315,G404,6205/C4,1090,1150,987,270,193.0,304,170.0,130.0,M12,26.4,80C411
800,133,315,G504,6305/C4,1090,1150,982,305,207.0,330,170.0,130.0,M12,32.8,80C511
1000,108,380,G405,6205/C4,1290,1350,1196,300,216.0,339,220.0,170.0,M16,37.4,100C411
1000,133,380,G505,6305/C4,1290,1350,1192,325,230.5,366,220.0,170.0,M16,44.9,100C511
1000,159,380,G605,6306/C4,1290,1350,1187,370,249.5,397,220.0,170.0,M16,56.4,100C611
1200,108,465,G406,6205/C4,1540,1600,1448,335,254.0,392,260.0,200.0,M16,50.1,120C411
1200,133,465,G506,6305/C4,1540,1600,1444,360,268.5,418,260.0,200.0,M16,58.8,120C511
1200,159,465,G606,6306/C4,1540,1600,1440,390,285.5,448,260.0,200.0,M16,71.8,120C611
1400,108,530,G408,6205/C4,1740,1810,1640,350,262.0,411,280.0,220.0,M16,55.5,140C411
1400,133,530,G508,6305/C4,1740,1810,1637,380,276.5,438,280.0,220.0,M16,64.9,140C511
1400,159,530,G608,6306/C4,1740,1810,1633,410,293.5,468,280.0,220.0,M16,86.9,140C611
1600,133,600,G509,6305/C4,1990,2060,1842,430,321.5,495,300.0,240.0,M16,84.5,160C511
1600,159,600,G609,6306/C4,1990,2060,1838,460,338.0,524,300.0,240.0,M16,100.0,160C611
1600,194,600,G709,6407/C4,1990,2060,0,0,0.0,0,300.0,240.0,M16,0.0,160C711
1800,133,670,G510,6305/C4,2190,2260,2050,455,329.0,515,300.0,240.0,M16,97.0,180C511
1800,159,670,G610,6306/C4,2190,2260,2045,485,348.0,545,300.0,240.0,M16,114.0,180C611
1800,194,670,G710,6407/C4,2190,2260,2056,525,369.0,585,300.0,240.0,M16,150.0,180C711
2000,133,750,G512,6305/C4,2420,2490,2287,460,329.0,528,300.0,240.0,M16,105.0,200C511
2000,159,750,G612,6306/C4,2420,2490,2283,500,348.0,560,300.0,240.0,M16,124.0,200C611
2000,194,750,G712,6407/C4,2420,2490,2294,535,369.0,599,300.0,240.0,M16,163.0,200C711
2200,133,800,G513,6305/C4,2720,2800,0,0,0.0,0,0.0,0.0,0,0.0,220C511
2200,159,800,G613,6306/C4,2720,2800,0,0,0.0,0,0.0,0.0,0,0.0,220C611
2200,194,800,G713,6407/C4,2720,2800,0,0,0.0,0,0.0,0.0,0,0.0,220C711
2400,159,900,G614,6306/C4,3020,3110,0,0,0.0,0,0.0,0.0,0,0.0,240C611
2400,194,900,G714,6407/C4,3020,3110,0,0,0.0,0,0.0,0.0,0,0.0,240C711
2400,219,900,G814,6408/C4,3020,3110,0,0,0.0,0,0.0,0.0,0,0.0,240C811
